,name,price,adress
127,"
 Дом 40 м² на участке 12 сот.
 ","
 950 000  ₽
","
 ул. Гузакова, 40
 "
128,"
 Дом 140 м² на участке 9 сот.
 ","
 3 500 000  ₽
","
 Октябрьская ул., 90
 "
129,"
 Дом 36 м² на участке 13 сот.
 ","
 350 000  ₽
","
 Комсомольская ул., 56
 "
130,"
 Дом 60 м² на участке 25 сот.
 ","
 2 500 000  ₽
","
 ул. Павлика Морозова, 9
 "
131,"
 Дом 56 м² на участке 12 сот.
 ","
 850 000  ₽
","
 Уральская ул., 18
 "
132,"
 Дом 34 м² на участке 12 сот.
 ","
 550 000  ₽
","
 Челябинская область, Аша
 "
133,"
 Дом 42 м² на участке 12 сот.
 ","
 650 000  ₽
","
 Канатная, 29
 "
134,"
 Дом 28 м² на участке 10 сот.
 ","
 600 000  ₽
","
 Челябинская область, Аша
 "
135,"
 Дом 48 м² на участке 8 сот.
 ","
 908 000  ₽
","
 ул Энгельса
 "
136,"
 Дом 44 м² на участке 15 сот.
 ","
 1 200 000  ₽
","
 пос. Ук
 "
137,"
 Дом 30 м² на участке 21 сот.
 ","
 170 000  ₽
","
 Аша
 "
138,"
 Дом 62 м² на участке 12 сот.
 ","
 900 000  ₽
","
 ЛХЗ
 "
139,"
 Дом 78 м² на участке 7.5 сот.
 ","
 1 490 000  ₽
","
 Лесная ул., 38
 "
140,"
 Дом 30 м² на участке 4 сот.
 ","
 650 000  ₽
","
 Аксаковская ул., 30
 "
141,"
 Дом 28 м² на участке 6 сот.
 ","
 500 000  ₽
","
 ул. Коммуны, 38
 "
142,"
 Дом 20 м² на участке 6 сот.
 ","
 300 000  ₽
","
 Аксаковская ул., 27
 "
143,"
 Дом 46 м² на участке 12 сот.
 ","
 750 000  ₽
","
 пос. Ук
 "
144,"
 Дом 26 м² на участке 12 сот.
 ","
 350 000  ₽
","
 Омская ул.
 "
145,"
 Дом 52 м² на участке 8 сот.
 ","
 1 600 000  ₽
","
 ул. Чехова, 30
 "
146,"
 Дом 41 м² на участке 7 сот.
 ","
 800 000  ₽
","
 ул. Александра Невского, 36
 "
147,"
 Дом 48 м² на участке 21 сот.
 ","
 860 000  ₽
","
 ул. Леваневского, 49
 "
148,"
 Дом 20 м² на участке 12 сот.
 ","
 400 000  ₽
","
 Челябинская область, Аша
 "
149,"
 Дом 60 м² на участке 13 сот.
 ","
 530 000  ₽
","
 Челябинская область, Ашинский район, посёлок Ук
 "
150,"
 Дача 36 м² на участке 25 сот.
 ","
 1 200 000  ₽
","
 Челябинская область, Ашинский район
 "
151,"
 Коттедж 230 м² на участке 16 сот.
 ","
 4 000 000  ₽
","
 Челябинская область - Аша
 "
152,"
 Дом 37.7 м² на участке 20 сот.
 ","
 550 000  ₽
","
 Челябинская область, Аша
 "
153,"
 Дом 51 м² на участке 9 сот.
 ","
 960 000  ₽
","
 Октябрьская ул.
 "
154,"
 Дом 36 м² на участке 25 сот.
 ","
 350 000  ₽
","
 Республика Башкортостан, Иглинский район, разъезд Казаяк
 "
155,"
 Дом 41 м² на участке 28 сот.
 ","
 750 000  ₽
","
 Набережная ул., 41
 "
156,"
 Дом 22 м² на участке 10 сот.
 ","
 500 000  ₽
","
 Металлургическая ул.
 "
157,"
 Дом 30 м² на участке 7.7 сот.
 ","
 900 000  ₽
","
 Челябинская область, Аша
 "
